anime_id,name,genre,type,episodes,rating,members
34076,Uchouten Kazoku 2,"Comedy, Drama, Fantasy, Slice of Life",TV,Unknown,,5934
33064,Uchuu Senkan Yamato 2202: Ai no Senshi-tachi,"Action, Drama, Military, Sci-Fi, Space",OVA,Unknown,,2058
33478,UQ Holder!,"Action, Fantasy, Magic, Sci-Fi, Shounen",,Unknown,,2341
32924,Urara Meirochou,"Comedy, Seinen, Slice of Life",TV,Unknown,,4305
32012,Utakata Overdrive,"Fantasy, Music",OVA,1,,649
34522,"Wake Up, Girls! Shin Shou","Drama, Music",TV,Unknown,,381
34022,Whistle! (ONA),"School, Shounen, Sports",ONA,Unknown,,381
34467,Yami Shibai 4th Season,"Dementia, Horror, Supernatural",TV,Unknown,,1838
32615,Youjo Senki,"Magic, Military",TV,Unknown,,6652
32222,Youkai Watch Movie 3: Soratobu Kujira to Double Sekai no Daibouken da Nyan!,"Comedy, Kids, Supernatural",Movie,1,,237
34471,Youkai Watch Movie 4,"Comedy, Kids, Supernatural",Movie,1,,169
34284,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou,"Drama, Fantasy, Magic, Slice of Life",TV,6,,2593
34445,Yuuki Yuuna wa Yuusha de Aru: Yuusha no Shou,"Drama, Fantasy, Magic, Slice of Life",TV,6,,4439
33035,Yuyushiki Special,,Special,1,,2294
33390,Zunda Horizon,,Movie,1,,160
11879,Oni Chichi: Re-born,Hentai,OVA,2,7.89,14342
29575,Mankitsu Happening,Hentai,OVA,4,7.83,8510
15843,Koiito Kinenbi The Animation,Hentai,OVA,2,7.75,6940
21097,Oni Chichi: Rebuild,Hentai,OVA,3,7.75,9825
2238,Fuyu no Semi,"Drama, Historical, Romance, Samurai, Yaoi",OVA,3,7.74,12270
10779,Eroge! H mo Game mo Kaihatsu Zanmai,Hentai,OVA,6,7.68,20316
10380,Oni Chichi: Re-birth,Hentai,OVA,1,7.65,14925
25345,Rance 01: Hikari wo Motomete The Animation,"Fantasy, Hentai, Magic",OVA,4,7.61,6158
22069,Swing Out Sisters (2014),Hentai,OVA,1,7.61,5099
8634,Koisuru Boukun,"Comedy, Romance, Yaoi",OVA,2,7.59,31195
12375,Maki-chan to Nau.,Hentai,OVA,4,7.57,9650
3559,Stringendo: Angel-tachi no Private Lesson,Hentai,OVA,12,7.55,7713
32587,Shoujo Ramune,Hentai,OVA,2,7.54,2811
21829,Fella Pure: Mitarashi-san Chi no Jijou The Animation,Hentai,OVA,1,7.52,6648
15537,Tsugou no Yoi Sexfriend?,Hentai,OVA,4,7.51,6866
11827,Kuroinu: Kedakaki Seijo wa Hakudaku ni Somaru,"Action, Fantasy, Hentai",OVA,4,7.49,10450
24641,Baku Ane: Otouto Shibocchau zo! The Animation,Hentai,OVA,1,7.47,7672
6893,Oni Chichi,Hentai,OVA,2,7.47,23605
2798,Hatsu Inu The Animation,Hentai,OVA,2,7.46,14076
10048,Fuyu no Semi: Tokubetsu Henshuuhan,"Action, Drama, Historical, Military, Samurai, Yaoi",OVA,1,7.44,2322
7411,Kanojo x Kanojo x Kanojo: Sanshimai to no DokiDoki Kyoudou Seikatsu,"Harem, Hentai",OVA,3,7.44,14138
32355,Toshi Densetsu Series,Hentai,OVA,Unknown,7.44,4447
5959,Mizugi Kanojo: The Animation,Hentai,OVA,4,7.42,8649
22429,Itadaki! Seieki♥,"Hentai, Supernatural",OVA,1,7.40,7685
7748,Sono Hanabira ni Kuchizuke wo: Anata to Koibito Tsunagi,"Hentai, School, Yuri",OVA,1,7.40,24288
719,Ai no Kusabi,"Drama, Romance, Sci-Fi, Yaoi",OVA,2,7.37,20964
9322,HHH Triple Ecchi,Hentai,OVA,4,7.37,11206
5774,Seitokaichou ni Chuukoku,"Comedy, Drama, Romance, School, Yaoi",OVA,2,7.36,23730
4502,Stringendo+Accelerando Ultimatum Sera,Hentai,OVA,3,7.36,7634
20377,Dorei Usagi to Anthony The Animation,Hentai,OVA,1,7.34,3836
20801,Koakuma Kanojo The Animation,"Hentai, School, Supernatural",OVA,2,7.34,6680
33322,JK Bitch ni Shiboraretai,Hentai,OVA,Unknown,7.33,2600
31886,Dropout,Hentai,OVA,Unknown,7.32,3515
18655,Koikishi Purely☆Kiss The Animation,Hentai,OVA,2,7.32,5320
8110,Fukubiki! Triangle: Miharu After,Hentai,OVA,2,7.31,8450
14991,Harem Time The Animation,"Harem, Hentai",OVA,2,7.31,7256
13221,Kyonyuu Fantasy,"Demons, Fantasy, Harem, Hentai, Supernatural",OVA,2,7.31,8854
3918,Resort Boin,Hentai,OVA,3,7.31,9654
5097,Hatsu Inu 2 The Animation: Strange Kind of Woman - Again,Hentai,OVA,2,7.29,8112
3102,Kateikyoushi no Oneesan The Animation: H no Hensachi Agechaimasu,Hentai,OVA,2,7.29,7218
3220,Kanashimi no Belladonna,"Drama, Hentai",Movie,1,7.28,6599
31789,Oni Chichi: Vacation,Hentai,OVA,Unknown,7.28,3259
16474,Soushisouai Note The Animation,Hentai,OVA,2,7.28,3189
15097,Tropical Kiss,Hentai,OVA,3,7.28,8884
28779,Futabu!!,"Hentai, School, Yuri",OVA,2,7.28,4447
29083,Lovely x Cation The Animation,Hentai,OVA,2,7.27,3348
12143,Swing Out Sisters,Hentai,OVA,1,7.26,5950
30614,Ane Yome Quartet,Hentai,OVA,2,7.25,3921
30243,Gakuen de Jikan yo Tomare,Hentai,OVA,4,7.25,5163
3210,Ikoku Irokoi Romantan,"Comedy, Romance, Yaoi",OVA,2,7.25,24223
18691,Joshikousei no Koshitsuki,Hentai,OVA,6,7.25,4748
8291,Ojousama wa H ga Osuki: The Animation,Hentai,OVA,2,7.25,5036
30891,Oni Chichi: Refresh♥,Hentai,OVA,Unknown,7.25,4433
30702,Victorian Maid Maria no Houshi,Hentai,OVA,1,7.25,2453
32667,Baka na Imouto wo Rikou ni Suru no wa Ore no xx dake na Ken ni Tsuite,Hentai,OVA,4,7.24,3965
10419,Menkui!,Hentai,OVA,2,7.24,4954
10683,Tentacle and Witches,"Hentai, Magic, Supernatural",OVA,4,7.24,6420
3939,Kafun Shoujo Chuuihou! The Animation,Hentai,OVA,4,7.23,6991
2372,Enbo,"Drama, Hentai",OVA,6,7.22,8614
29261,Genkaku Cool na Sensei ga Aheboteochi!,Hentai,OVA,2,7.22,2962
28157,Sei Brunehilde Gakuen Shoujo Kishidan to Junpaku no Panty The Animation,Hentai,OVA,1,7.22,2935
2135,"Sora no Iro, Mizu no Iro",Hentai,OVA,2,7.22,9633
7053,Fault!!,Hentai,OVA,3,7.21,11055
19051,Imouto Paradise! 2,Hentai,OVA,2,7.21,5600
25667,Boy Meets Harem The Animation,"Harem, Hentai",OVA,1,7.20,4566
21521,Futabu!,"Hentai, School, Yuri",OVA,2,7.20,7234
32423,Pretty x Cation The Animation,Hentai,OVA,2,7.20,2636
13057,Peace Hame!,Hentai,OVA,6,7.18,4430
2867,Ane Jiru The Animation: Shirakawa Sanshimai ni Omakase,Hentai,OVA,2,7.17,7709
14127,Papa Love: Papa to Icha Ero Shitai Musume-tachi to Hitotsu Yane no Shita de,Hentai,OVA,2,7.16,5018
16472,Sei Yariman Gakuen Enkou Nikki The Animation,Hentai,OVA,1,7.16,4210
9311,Kateikyoushi no Oneesan 2 The Animation: H no Hensachi Agechaimasu,Hentai,OVA,2,7.15,5091
29808,Namaiki: Kissuisou e Youkoso! The Animation,Hentai,OVA,1,7.15,3475
15291,Hyakujitsu no Bara: Jinginaki Nikukyuu-hen,"Parody, Yaoi",Special,2,7.14,3597
32872,Energy Kyouka!!,Hentai,OVA,Unknown,7.13,2891
18525,Rin x Sen + Ran -&gt; Sem: Cross Mix,Hentai,OVA,2,7.13,3518
15841,Tsun Tsun Maid wa Ero Ero Desu,Hentai,OVA,2,7.13,5384
1787,Viper GTS,"Demons, Hentai",OVA,3,7.13,7314
16638,Fault!! Service: Aratanaru Rival,"Hentai, School",OVA,1,7.12,4762
33231,Fella Hame Lips,Hentai,OVA,Unknown,7.10,1663
28961,Idol☆Sister,"Harem, Hentai",OVA,1,7.12,4286
6465,Kangoku Senkan,Hentai,OVA,4,7.12,4719
32620,Koinaka: Koinaka de Hatsukoi x Nakadashi Sexual Life The Animation,Hentai,OVA,1,7.12,2561
17867,Nuki Doki! Tenshi to Akuma no Sakusei Battle,Hentai,OVA,2,7.12,4007
9435,Ane Jiru 2 The Animation: Shirakawa Sanshimai ni Omakase,Hentai,OVA,2,7.11,6096
5315,Ero Manga Mitai na Koi Shiyo: Let&#039;s Fall in Love The Ero-manga,Hentai,OVA,2,7.11,3493
31788,Ero Manga! H mo Manga mo Step-up♪,Hentai,OVA,Unknown,7.11,2967
6590,Makai Kishi Ingrid,"Demons, Fantasy, Hentai, Martial Arts",OVA,4,7.11,5068
18693,Tenioha!: Onnanoko datte Honto wa Ecchi da yo?,Hentai,OVA,2,7.10,3727
4763,Tsuma Shibori,"Hentai, Romance",OVA,2,7.11,4230
21925,Chichiiro Toiki,Hentai,OVA,2,7.10,4124
23479,Itadaki! Seieki♥ Special,Hentai,Special,1,7.10,2815
10106,Sweet Home: H na Oneesan wa Suki Desu ka?,"Harem, Hentai",OVA,3,7.10,4175
5194,Aneimo,Hentai,OVA,2,7.09,7244
10694,Bloods: Inraku no Ketsuzoku 2,Hentai,OVA,2,7.09,7086
3771,"Nee, Chanto Shiyou Yo!",Hentai,OVA,5,7.09,6171
2446,Nikuyome: Takayanagi Ke no Hitobito,Hentai,OVA,4,7.09,3316
4358,Aniyome wa Ijippari,Hentai,OVA,2,7.08,7882
16914,Chu Shite Agechau: Oshikake Oneesan no Seikou Chiryou,Hentai,OVA,2,7.08,3659
29807,Honoo no Haramase Paidol My★Star Gakuen Z The Animation,Hentai,OVA,1,7.08,2254
11321,Nee Summer!,Hentai,OVA,2,7.08,7929
20849,Oni Chichi 2: Revenge,Hentai,OVA,2,7.08,6423
32518,Shoujo kara Shoujo e...,Hentai,OVA,Unknown,7.08,1964
6194,Stretta The Animation,Hentai,OVA,2,7.08,5625
8039,Oppai no Ouja 48,Hentai,OVA,2,7.07,3815
10280,Uchuu Kaizoku Sara Special,"Hentai, Sci-Fi",Special,1,7.07,2441
5902,Hyakujitsu no Bara,"Drama, Yaoi",OVA,2,7.06,17362
32063,Kyonyuu Hitozuma Onna Kyoushi Saimin,Hentai,OVA,Unknown,7.06,2045
741,Sensitive Pornograph,"Comedy, Drama, Hentai, Romance, Yaoi",OVA,1,7.06,27518
13595,"Suki de Suki de, Suki de The Animation",Hentai,OVA,2,7.06,5108
19859,Yokujou Bazooka The Animation,Hentai,OVA,1,7.06,2361
29809,3Ping Lovers!☆Ippu Nisai no Sekai e Youkoso♪ The Animation,Hentai,OVA,1,7.05,3541
13219,Himesama Gentei!,Hentai,OVA,2,7.05,4132
12959,Ojousama Yomeiri Kousou!,Hentai,OVA,2,7.05,3853
31810,Amakano,Hentai,OVA,Unknown,7.04,2695
21001,Dekakute Ecchi na Ore no Ane,Hentai,OVA,1,7.04,3843
2432,Discipline,"Hentai, School",OVA,6,7.04,15917
17745,Kakushi Dere,Hentai,OVA,3,7.04,3528
3992,Himekishi Lilia,"Demons, Fantasy, Hentai, Horror, Magic, Supernatural",OVA,6,7.02,5445
3375,Kirepapa.,"Comedy, Drama, Romance, Yaoi",OVA,2,7.02,30628
2433,Lingeries,Hentai,OVA,3,7.02,4344
3970,Sentakuya Shin-chan,Hentai,OVA,2,7.02,5039
3479,Taimanin Asagi,"Action, Demons, Hentai, Martial Arts, Supernatural",OVA,4,7.02,7603
30898,Tsunpri,Hentai,OVA,1,7.02,2362
2852,Accelerando: Datenshi-tachi no Sasayaki,Hentai,OVA,4,7.00,7484
5719,Sex Pistols,"Comedy, Drama, Supernatural, Yaoi",OVA,2,7.00,15885
10488,Shocking Pink!,"Harem, Hentai",OVA,2,7.00,3877
21363,Tokubetsu Jugyou 3 SLG The Animation,Hentai,OVA,2,7.00,2601
5464,Cafe Junkie,Hentai,OVA,2,6.99,7889
2136,Front Innocent: Mou Hitotsu no Lady Innocent,Hentai,OVA,1,6.99,7713
747,Haru wo Daite Ita,"Drama, Romance, Yaoi",OVA,2,6.99,15269
19631,Tayu Tayu,"Harem, Hentai, Romance",OVA,4,6.99,3579
5762,15 Bishoujo Hyouryuuki,"Comedy, Harem, Hentai",OVA,3,6.98,11680
16642,Ane Koi: Suki Kirai Daisuki.,Hentai,OVA,2,6.98,4115
4600,Aneki... My Sweet Elder Sister The Animation,Hentai,OVA,4,6.98,6101
31118,Demon Busters: Ecchi na Ecchi na Demon Taiji The Animation,"Demons, Harem, Hentai, School, Supernatural",OVA,1,6.98,2713
12997,Please ♥♥♥♥ Me!,Hentai,OVA,2,6.98,8152
5784,Ai no Kusabi (2012),"Drama, Romance, Sci-Fi, Yaoi",OVA,4,6.97,17943
2873,Bible Black Only Version,Hentai,OVA,2,6.97,10176
7178,Tony&#039;s Heroine Series: Kanojo wa Hanayome Kouhosei? Cinderella Collection,Hentai,OVA,2,6.97,3550
2866,Ane☆Haramix,Hentai,OVA,4,6.96,7712
22347,Pandra The Animation: Shiroki Yokubou Kuro no Kibou,"Demons, Fantasy, Hentai, Supernatural",OVA,2,6.96,2889
1401,Bible Black: New Testament,Hentai,OVA,6,6.95,14097
2396,Milk Junkie: Shimai-hen,Hentai,OVA,4,6.95,5508
3941,Rensa Byoutou,Hentai,OVA,2,6.95,2550
4360,Uchuu Kaizoku Sara,"Hentai, Sci-Fi, Supernatural",OVA,4,6.95,4777
21069,Amanee!: Tomodachinchi de Konna Koto ni Naru Nante!,Hentai,OVA,1,6.94,3054
734,Kizuna: Koi no kara Sawagi,"Drama, Romance, Yaoi",OVA,1,6.94,4127
16189,Miboujin Nikki: Akogare no Ano Hito to Hitotsu Yane no Shita,Hentai,OVA,1,6.94,3000
9308,Oni Chichi 2,Hentai,OVA,2,6.94,11092
28309,Oni Chichi 2: Harvest,Hentai,OVA,1,6.94,4310
17537,Ryou Seibai!: Gakuen Bishoujo Seisai Hiroku,Hentai,OVA,2,6.94,2898
14379,Shoujo x Shoujo x Shoujo The Animation,"Harem, Hentai",OVA,2,6.94,3505
33962,Shoujo-tachi no Sadism The Animation,Hentai,OVA,Unknown,6.94,1247
24377,Spocon!,Hentai,OVA,2,6.93,2846
5172,Love Selection The Animation,Hentai,OVA,2,6.92,3780
25923,Oppai Gakuen Marching Band-bu!,Hentai,OVA,1,6.92,2364
11067,Oppai Heart: Kanojo wa Kedamono Hatsujouki!?,Hentai,OVA,2,6.92,4072
33981,Pretty x Cation 2 The Animation,Hentai,OVA,Unknown,6.91,939
10458,Ran-&gt;Sem: Hakudaku Delmo Tsuma no Miira Tori,Hentai,OVA,2,6.92,4192
13785,Uhou Renka,Hentai,OVA,2,6.92,4873
11065,Shoukoujo The Animation,Hentai,OVA,2,6.90,4313
203,Words Worth,"Adventure, Demons, Fantasy, Hentai, Magic",OVA,5,6.90,5080
6892,Yokorenbo: Immoral Mother,Hentai,OVA,2,6.90,3890
4010,Alignment You! You! The Animation,"Demons, Hentai, School, Supernatural",OVA,2,6.89,6951
31117,Ano Ko to Ii Koto,Hentai,OVA,2,6.89,2714
972,Bible Black Gaiden,"Hentai, Supernatural",OVA,2,6.89,14478
12055,Brandish,"Hentai, Supernatural",OVA,2,6.89,6742
32895,Chijoku no Seifuku,Hentai,OVA,Unknown,6.89,1927
24911,Kyonyuu Try!: Tanki Shuuchuu Chichi Momi Lesson,Hentai,OVA,1,6.89,1930
14539,Love 2 Quad,Hentai,OVA,2,6.89,4931
4473,Shoujo Sect,"Comedy, Hentai, Romance, Yuri",OVA,3,6.89,16527
10827,Wizard Girl Ambitious,"Fantasy, Hentai",OVA,1,6.89,6007
6690,Anata dake Konbanwa,Hentai,OVA,5,6.88,3338
368,Bible Black,Hentai,OVA,6,6.88,31309
4399,Honoo no Haramase Tenkousei,"Harem, Hentai, School, Yuri",OVA,3,6.88,4965
34107,Iizuka-senpai x Blazer: Ane Kyun! yori The Animation,Hentai,OVA,1,6.87,920
8293,Gakuen Saimin Reido,Hentai,OVA,3,6.87,4850
14543,Koutetsu no Majo Annerose,"Action, Hentai, Supernatural",OVA,4,6.87,5152
32405,Marshmallow★Imouto★Succubus★,Hentai,OVA,Unknown,6.87,2211
33505,Tsumamigui 3 The Animation,Hentai,OVA,Unknown,6.87,1400
31189,Watashi ga Toriko ni Natte Yaru,Hentai,OVA,2,6.87,2330
10695,Yume Kui: Tsurumiku Shiki Game Seisaku,Hentai,OVA,2,6.87,4758
1408,Kao no nai Tsuki,Hentai,OVA,5,6.86,7095
15541,Namanaka Hyaku Percent!: Katamusubi no Shinpa,Hentai,OVA,3,6.86,3017
