anime_id,name,genre,type,episodes,rating,members,image_url
32281,Kimi no Na wa.,"Drama, Romance, School, Supernatural",Movie,1,9.37,200630,"https://cdn.myanimelist.net/images/anime/5/87048.jpg"
5114,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,64,9.26,793665,"https://cdn.myanimelist.net/images/anime/1223/96541.jpg"
28977,Gintama°,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.25,114262,"https://cdn.myanimelist.net/images/anime/3/72078.jpg"
9253,Steins;Gate,"Sci-Fi, Thriller",TV,24,9.17,673572,"https://cdn.myanimelist.net/images/anime/5/73199.jpg"
9969,Gintama&#039;,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.16,151266,"https://cdn.myanimelist.net/images/anime/4/50361.jpg"
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,"Comedy, Drama, School, Shounen, Sports",TV,10,9.15,93351,"https://cdn.myanimelist.net/images/anime/9/82118.jpg"
11061,Hunter x Hunter (2011),"Action, Adventure, Shounen, Super Power",TV,148,9.13,425855,"https://cdn.myanimelist.net/images/anime/1337/99013.jpg"
820,Ginga Eiyuu Densetsu,"Drama, Military, Sci-Fi, Space",OVA,110,9.11,80679,"https://cdn.myanimelist.net/images/anime/13/13225.jpg"
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,9.10,72534,"https://cdn.myanimelist.net/images/anime/12/60969.jpg"
15417,Gintama&#039;: Enchousen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13,9.11,81109,https://cdn.myanimelist.net/images/anime/4/50361.jpg
4181,Clannad: After Story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,24,9.06,456749,https://cdn.myanimelist.net/images/anime/1299/110774.jpg
28851,Koe no Katachi,"Drama, School, Shounen",Movie,1,9.05,102733,https://cdn.myanimelist.net/images/manga/1/120529.jpg
918,Gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201,9.04,336376,https://cdn.myanimelist.net/images/anime/4/50361.jpg
2904,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25,8.98,572888,https://cdn.myanimelist.net/images/anime/1088/135089.jpg
28891,Haikyuu!! Second Season,"Comedy, Drama, School, Shounen, Sports",TV,25,8.93,179342,https://cdn.myanimelist.net/images/anime/9/76662.jpg
199,Sen to Chihiro no Kamikakushi,"Adventure, Drama, Supernatural",Movie,1,8.93,466254,https://cdn.myanimelist.net/images/anime/6/79597.jpg
23273,Shigatsu wa Kimi no Uso,"Drama, Music, Romance, School, Shounen",TV,22,8.92,416397,https://cdn.myanimelist.net/images/anime/1405/143284.jpg
24701,Mushishi Zoku Shou 2nd Season,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.88,75894,https://cdn.myanimelist.net/images/anime/9/68095.jpg
