anime_id,name,genre,type,episodes,rating,members,image_url
28099,Little Twins: Bokura no Natsu ga Tondeiku,"Adventure, Kids",Movie,1,6.71,61,https://cdn.myanimelist.net/images/anime/13/68011.jpg
29421,Liv &amp; Bell,"Adventure, Kids",Special,3,6.5,42,https://cdn.myanimelist.net/images/anime/1798/91548.jpg
17102,Lolling Seutajeu,"Kids, Sports",TV,26,5.6,84,https://cdn.myanimelist.net/images/anime/12/71527.jpg
17104,Lolling Seutajeu (Movie),"Kids, Sports",Movie,1,6.0,63,https://cdn.myanimelist.net/images/anime/8/72443.jpg
32823,Long Zai Na Li,"Adventure, Comedy",Movie,1,7.5,40,https://cdn.myanimelist.net/images/anime/1924/112369.jpg
31493,Lord of Vermillion III Special Anime Movie,"Action, Adventure, Fantasy",Special,1,5.39,112,https://cdn.myanimelist.net/images/anime/8/72443.jpg
32844,Love Will Find the Way Back Home,Music,Music,1,4.89,72,https://cdn.myanimelist.net/images/anime/11/78751.jpg
23901,Lovely Movie: Itoshi no Muco Season 2,Slice of Life,TV,22,5.58,293,https://cdn.myanimelist.net/images/anime/2/61929.jpg
23899,Lovely Movie: Itoshi no Muco Specials,Slice of Life,Special,3,4.67,166,https://cdn.myanimelist.net/images/anime/5/61925.jpg
31205,Lulin Da Maoxian,"Adventure, Fantasy",Movie,1,6.5,46,https://cdn.myanimelist.net/images/anime/1197/93760.jpg
33443,Luo Xiao Hei Zhan Ji,"Comedy, Supernatural",ONA,Unknown,7.4,73,https://cdn.myanimelist.net/images/anime/1583/108598.jpg
31984,Lupin Shanshei Pilot,"Comedy, Parody",Special,1,5.5,171,https://cdn.myanimelist.net/images/anime/10/76939.jpg
33755,Ma Shen,"Drama, Game",ONA,Unknown,6.0,306,https://cdn.myanimelist.net/images/anime/6/81481.jpg
7500,Maabou no Shounen Koukuu Tsuwamono,Historical,Movie,1,5.88,110,
30055,Mabeob Chunjamun: Daemawangui Buhwaleul Magala,,Movie,1,4.6,41,https://cdn.myanimelist.net/images/anime/7/71993.jpg
30057,Mabeobsaui Adeul Koli,"Adventure, Comedy, Fantasy",TV,13,4.2,44,https://cdn.myanimelist.net/images/anime/12/67333.jpg
27965,Maboroshi Mabo-chan,"Adventure, Fantasy, Kids",TV,24,6.0,52,https://cdn.myanimelist.net/images/anime/3/67775.jpg
4905,Mach Girl,"Cars, Comedy",TV,26,5.47,222,https://cdn.myanimelist.net/images/anime/1177/97974.jpg
19971,Machi Ichiban no Kechinbou,"Drama, Historical, Music, Supernatural",Special,1,5.61,117,https://cdn.myanimelist.net/images/anime/13/70125.jpg
